iter	Passed	Remaining
0	230	230385
1	231	115598
2	232	77387
3	233	58243
4	234	46756
5	235	39089
6	237	33625
7	238	29519
8	239	26322
9	239	23755
10	241	21688
11	242	19951
12	243	18478
13	244	17210
14	245	16110
15	246	15139
16	247	14292
17	248	13538
18	249	12864
19	250	12255
20	251	11704
21	252	11202
22	252	10744
23	255	10396
24	256	10015
25	257	9659
26	259	9334
27	260	9029
28	261	8766
29	263	8526
30	264	8275
31	267	8100
32	268	7880
33	270	7673
34	271	7479
35	272	7297
36	273	7123
37	275	6967
38	293	7241
39	295	7090
40	297	6951
41	299	6821
42	300	6688
43	302	6580
44	304	6459
45	307	6377
46	309	6266
47	310	6157
48	312	6062
49	313	5960
50	329	6137
51	330	6034
52	332	5942
53	333	5845
54	346	5950
55	348	5874
56	350	5803
57	352	5728
58	353	5642
59	355	5563
60	356	5487
61	357	5413
62	359	5340
63	360	5270
64	364	5243
65	366	5183
66	367	5116
67	367	5042
68	368	4976
69	381	5066
70	387	5068
71	388	5012
72	389	4950
73	390	4890
74	391	4830
75	392	4771
76	393	4716
77	394	4660
78	395	4605
79	395	4553
80	397	4504
81	398	4459
82	399	4415
83	400	4369
84	401	4321
85	402	4278
86	403	4232
87	404	4191
88	405	4151
89	406	4115
90	409	4087
91	410	4048
92	411	4008
93	411	3969
94	412	3931
95	413	3894
96	414	3857
97	415	3821
98	416	3787
99	417	3753
100	417	3720
101	418	3683
102	419	3651
103	420	3619
104	421	3590
105	422	3560
106	423	3537
107	425	3510
108	426	3483
109	427	3456
110	428	3428
111	429	3402
112	430	3376
113	431	3353
114	432	3328
115	433	3302
116	434	3277
117	435	3254
118	436	3228
119	437	3206
120	438	3187
121	439	3165
122	440	3139
123	441	3117
124	442	3095
125	443	3074
126	444	3053
127	444	3030
128	445	3010
129	446	2990
130	447	2971
131	448	2951
132	449	2932
133	450	2913
134	452	2900
135	453	2882
136	454	2865
137	455	2846
138	456	2828
139	457	2811
140	458	2793
141	459	2777
142	460	2760
143	461	2743
144	462	2727
145	463	2710
146	464	2695
147	465	2679
148	466	2665
149	468	2653
150	469	2640
151	471	2629
152	472	2616
153	474	2605
154	475	2593
155	477	2581
156	478	2571
157	480	2560
158	481	2548
159	483	2537
160	484	2524
161	485	2512
162	486	2500
163	488	2488
164	489	2476
165	490	2465
166	491	2453
167	493	2441
168	494	2431
169	495	2420
170	497	2410
171	498	2399
172	499	2389
173	500	2377
174	502	2367
175	503	2356
176	504	2345
177	505	2335
178	507	2325
179	508	2315
180	508	2302
181	509	2291
182	511	2283
183	512	2274
184	514	2264
185	515	2254
186	516	2245
187	517	2236
188	519	2227
189	520	2218
190	521	2209
191	522	2200
192	524	2192
193	525	2184
194	527	2176
195	528	2168
196	529	2160
197	531	2152
198	532	2145
199	534	2137
200	535	2130
201	537	2123
202	540	2120
203	541	2111
204	542	2103
205	543	2095
206	544	2087
207	546	2079
208	547	2070
209	548	2063
210	549	2055
211	551	2048
212	552	2042
213	554	2036
214	555	2029
215	557	2021
216	558	2015
217	560	2009
218	561	2002
219	563	1996
220	564	1989
221	565	1982
222	567	1976
223	568	1969
224	569	1963
225	571	1956
226	572	1950
